home_name,away_name,homeID,awayID,homeGoalCount,awayGoalCount,team_a_xg,team_b_xg,odds_ft_1,odds_ft_x,odds_ft_2,team_a_shots,team_b_shots,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_possession,team_b_possession,team_a_corners,team_b_corners,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_fouls,team_b_fouls,game_week,date_unix,status,match_id
Santos,São Paulo,611,618,1,1,1.11,0.82,2.21,3.28,3.45,12,8,3,3,50,50,7,4,18,13,11,19,2,1770246000,complete,8409531
Remo,Mirassol,2594,2721,2,2,1.72,1.01,2.59,3.1,2.6,18,8,7,5,37,63,4,4,13,19,15,9,2,1770246000,complete,8409805
Palmeiras,Vitória,619,610,5,1,1.91,1.08,1.28,4.5,7.75,17,9,8,4,60,40,6,4,38,31,2,0,2,1770251400,complete,8409809
Grêmio,Botafogo,616,615,5,3,1.65,0.98,2.25,3.18,2.82,14,9,8,4,43,57,4,2,29,17,13,14,2,1770251400,complete,8409815
Bahia,Fluminense,626,617,1,1,1.84,1.46,2.15,3.05,3.5,19,13,5,4,42,58,6,4,40,49,12,13,2,1770328800,complete,8409807
Vasco da Gama,Chapecoense,625,623,1,1,3.13,0.58,1.6,3.7,6.55,30,7,13,1,67,33,14,0,45,9,15,11,2,1770332400,complete,8409533
Cruzeiro,Coritiba,613,627,1,2,1.97,1.02,1.31,4.05,8.0,19,10,4,2,68,32,12,2,67,34,9,16,2,1770337800,complete,8409825
Atlético PR,Corinthians,622,624,0,1,1.7,0.38,2.42,2.95,3.12,19,4,5,1,56,44,8,0,21,7,15,8,2,1771540200,complete,8409806
Vitória,Flamengo,610,612,1,2,1.13,0.78,5.2,3.8,1.67,10,6,3,2,44,56,7,2,39,35,11,20,3,1770769800,complete,8409801
Chapecoense,Coritiba,623,627,3,3,2.2,1.4,2.45,3.1,3.18,21,13,8,5,51,49,6,5,44,31,4,8,3,1770847200,complete,8409799
Mirassol,Cruzeiro,2721,613,2,2,2.5,1.06,2.65,3.2,2.75,20,9,11,4,56,44,9,0,66,29,12,10,3,1770847200,complete,8409803
Atlético Mineiro,Remo,620,2594,3,3,1.89,1.69,1.33,4.05,8.46,18,18,8,6,59,41,6,5,26,18,11,14,3,1770850800,complete,8409802
Vasco da Gama,Bahia,625,626,0,1,2.49,0.93,2.25,3.2,2.66,26,8,4,3,62,38,8,4,80,28,16,13,3,1770856200,complete,8409772
São Paulo,Grêmio,618,616,2,0,1.86,0.61,1.98,3.2,4.2,18,5,4,1,58,42,3,3,62,30,7,12,3,1770856200,complete,8409804
Atlético PR,Santos,622,611,2,1,1.51,1.13,2.25,3.3,3.4,13,10,5,5,56,44,8,2,46,19,15,15,3,1770933600,complete,8409771
Fluminense,Botafogo,617,615,1,0,1.24,0.64,1.85,3.25,4.78,10,5,5,3,48,52,4,0,35,13,18,11,3,1770935400,complete,8409596
Corinthians,Bragantino,624,635,2,0,1.27,0.94,2.05,3.05,3.45,13,9,5,4,60,40,3,3,13,11,17,24,3,1770937200,complete,8409481
Internacional,Palmeiras,630,619,1,3,2.36,1.26,2.88,3.15,2.13,26,11,4,7,62,38,16,4,62,10,11,8,3,1770942600,complete,8409476
Remo,Internacional,2594,630,1,1,1.38,1.78,2.97,3.27,2.5,11,18,7,4,41,59,7,12,27,51,14,14,4,1772056800,complete,8409794
Bragantino,Atlético PR,635,622,1,1,0.89,1.94,2.17,3.34,3.55,7,18,3,6,39,61,2,7,33,53,16,17,4,1772056800,complete,8409795
Coritiba,São Paulo,627,618,0,1,1.37,1.13,2.68,3.15,2.85,18,9,2,5,42,58,3,7,13,28,2,17,4,1772058600,complete,8409530
Cruzeiro,Corinthians,613,624,1,1,1.01,0.5,1.92,3.6,4.1,11,4,3,2,48,52,5,3,13,12,15,13,4,1772060400,complete,8409770
Palmeiras,Fluminense,619,617,2,1,1.63,2.01,1.56,3.5,4.85,14,18,6,7,35,65,5,11,46,54,14,12,4,1772065800,complete,8409791
Grêmio,Atlético Mineiro,616,620,2,1,2.14,0.88,2.2,3.3,3.28,18,8,7,2,63,37,6,3,71,32,12,5,4,1772065800,complete,8409797
Santos,Vasco da Gama,611,625,2,1,1.12,1.52,1.95,3.4,3.65,8,16,4,2,40,60,5,2,45,51,14,16,4,1772143200,complete,8409796
Mirassol,Santos,2721,611,2,2,2.17,1.46,1.75,3.55,4.25,20,16,9,2,54,46,6,7,40,43,7,8,5,1773189000,complete,8409792
Atlético Mineiro,Internacional,620,630,1,0,0.83,2.14,2.28,3.4,3.0,7,19,3,7,35,65,2,14,24,62,15,18,5,1773266400,complete,8409789
Bahia,Vitória,626,610,1,1,1.51,0.58,1.75,3.55,4.45,13,6,7,2,63,37,7,3,26,7,16,16,5,1773270000,complete,8409813
