home,away,goals_home,goals_away,result,game_week,model_h,model_d,model_a,bs_model,ll_model,elo_h,elo_d,elo_a,bs_elo,ll_elo,odds_h,odds_d,odds_a,bs_odds,ll_odds,blend_h,blend_d,blend_a,bs_blend,ll_blend,div_home,div_draw,div_away,div_max
Corinthians,Cuiabá,1,1,D,12,0.6672199025734121,0.2270672027283725,0.10571289469821538,1.0537827235936925,1.482509258052525,0.682896659729275,0.1789310413281099,0.13817229894261504,1.1595936669590305,1.7207547913439465,0.45845272206303717,0.30085959885386815,0.24068767908309455,0.7569067577441893,1.201111572044904,0.5294335634365647,0.2757701841711997,0.19479625239223564,0.8427543041746166,1.288187426170296,0.20876718051037496,0.07379239612549565,0.13497478438487917,0.20876718051037496
Atlético GO,Grêmio,1,1,D,12,0.47891308204813887,0.29122716775258395,0.22985975019927707,0.7845521726505452,1.2336516711577399,0.3614934019555727,0.2734098621860323,0.36509673585839497,0.7919063345603884,1.2967832829726085,0.4276704769412692,0.303508080409933,0.26882144264879776,0.7402679989292097,1.1923470447515523,0.4450929626776049,0.29933257010643427,0.2555744672159607,0.754360901031505,1.2062000491070852,0.051242605106869676,0.012280912657349041,0.03896169244952069,0.051242605106869676
Juventude,Flamengo,2,1,H,12,0.25498517630952805,0.2979649512134299,0.4470498724770421,0.8436837881519063,1.366549867632946,0.3132218865535143,0.25488521755064764,0.43189289589583807,0.7231621247602481,1.160843436867951,0.20943851188425766,0.29452290733723735,0.496038580778505,0.9577854830589093,1.563325082058463,0.22492437778884958,0.2956932022551428,0.47938241995600755,0.9179841945687808,1.4919910319877732,0.04554666442527039,0.0034420438761925687,0.0489887083014629,0.0489887083014629
Internacional,Atlético Mineiro,1,2,A,12,0.5555352752623738,0.283043130583367,0.16142159415425927,1.0919465985820582,1.823735739318425,0.5861734978351658,0.21088903867030903,0.20293746349452518,1.0233822432961417,1.5948574090043972,0.4210526315789474,0.31578947368421056,0.26315789473684215,0.8199445983379501,1.33500106673234,0.46677673043131235,0.3046557170299237,0.22856755253876396,0.9058036429871957,1.475923477596268,0.13448264368342638,0.03274634310084357,0.10173630058258287,0.13448264368342638
Bahia,Vasco da Gama,2,1,H,12,0.5684358128423067,0.26669167461022314,0.16487251254747004,0.28455504233720136,0.5648668783360127,0.4833166060862407,0.24066809660062136,0.2760152973131379,0.40106730661846685,0.7270833409319337,0.5878322828172102,0.24116196218141958,0.17100575500137025,0.2572842873344533,0.5313136050743302,0.5812374830257431,0.24984206440721282,0.1689204525670442,0.2663172220653277,0.5425958568918101,0.01939646997490352,0.025529712428803558,0.006133242453900206,0.025529712428803558
Fortaleza,Palmeiras,3,0,H,12,0.2510373099576965,0.29856534323116957,0.45039734681113397,0.8529441452686585,1.3821537056471767,0.4287811783650261,0.255742209347963,0.3154766122870109,0.4912205127323144,0.8468085639271818,0.2929172621883437,0.30709067810068286,0.39999205971097346,0.7542643305193917,1.2278650914520122,0.27867807842992365,0.3041920642450483,0.417129857325028,0.7868354443592092,1.277698004100473,0.041879952230647166,0.00852533486951329,0.05040528710016051,0.05040528710016051
Fluminense,Vitória,0,1,A,12,0.48672475788219016,0.3024537345208713,0.21082150759693855,0.9511819443326673,1.5567434390710029,0.5406639104076608,0.22440723122910647,0.23492885836323274,0.9280099212106032,1.4484725410392887,0.4992827177367116,0.28047940908150565,0.2202378731817827,0.9359809055693371,1.513047075015232,0.4950130113861743,0.28795067973089,0.2170363088829357,0.9409856170067481,1.5276906173972706,0.012557959854521461,0.02197432543936567,0.009416365584844155,0.02197432543936567
São Paulo,Criciúma,2,1,H,12,0.5849528936515563,0.26222202119606774,0.15282508515237597,0.26437999554019825,0.5362239586650388,0.6578683982817238,0.1877518355018843,0.15437976621639185,0.17613789684566758,0.41875037027137124,0.6114338122898196,0.2369306022623051,0.15163558544787528,0.2301131432941216,0.49194856799630154,0.60243029995281,0.24552968469978437,0.15204001534740552,0.2414626587312274,0.5067833050349474,0.026480918638263296,0.025291418933762633,0.0011894997045006905,0.026480918638263296
Vasco da Gama,Botafogo,1,1,D,13,0.23208212017688915,0.2961562776962785,0.4717616021268324,0.7718171051734339,1.2168679987925308,0.31265948415128647,0.25467146074459746,0.4326690551041161,0.8404730957030293,1.367780953747572,0.32544256895841916,0.30444627418690823,0.3701111568546728,0.7266901196110331,1.1892606468513178,0.29370001637269894,0.3016276753800941,0.404672308247207,0.7377432804744573,1.1985618851878603,0.09336044878153002,0.008289996490629725,0.1016504452721596,0.1016504452721596
Cuiabá,Bragantino,1,1,D,13,0.3124631761680899,0.3180064277458275,0.36953039608608246,0.6993011826885951,1.1456836833690476,0.3896431906685985,0.26655314687143006,0.34380366245997146,0.8079670607194978,1.3221816298500981,0.36559577063847093,0.3066287108580724,0.3277755185034567,0.7218608026452858,1.1821176742082364,0.3475306885185414,0.3104971345999092,0.3419721768815495,0.7131367506182129,1.1695806059928624,0.053132594470381045,0.011377716887755074,0.04175487758262575,0.053132594470381045
